FILE NAME^# OF ENTRIES^GLOBAL^FILE VERSION^LAST IEN
FILE^2792^DIC(^
INDEX^1453^DD("IX",^22.2^1508
ELECTROCARDIOGRAM (EKG)^0^MCAR(691.5,^2.3^
HOLTER^0^MCAR(691.6,^2.3^
EXERCISE TOLERANCE TEST^0^MCAR(691.7,^2.3^
ELECTROPHYSIOLOGY (EP)^0^MCAR(691.8,^2.3^
ATRIAL STUDY^0^MCAR(691.9,^2.3^
VENTRICULAR STUDY^0^MCAR(692,^2.3^
MEDICAL DESCRIPTION^229^MCAR(693,^2.3^222
INTERPRETATION^561^MCAR(693.2,^2.3^561
ECG INTERPRETATION^206^MCAR(693.3,^2.3^1204
RECORDING SITE^12^MCAR(693.5,^2.3^12
EP INTERVENTION^0^MCAR(693.6,^2.3^
HEMATOLOGY^0^MCAR(694,^2.3^
INDICATION^60^MCAR(694.1,^2.3^66
CARDIAC SURGERY RISK ASSESSMENT^0^MCAR(694.5,^2.3^
PROCEDURE TERM^94^MCAR(694.8,^2.3^128
MEDICATION^0^MCAR(695,^2.3^
REGIONAL WALL MOTION^68^MCAR(695.1,^2.3^68
CATH PROCEDURE^24^MCAR(695.3,^2.3^24
PAST HISTORY AND RISK FACTOR^59^MCAR(695.4,^2.3^59
SYMPTOM^187^MCAR(695.5,^2.3^189
HEART CATHETER^50^MCAR(695.6,^2.3^50
REASON (MEDICINE)^85^MCAR(695.8,^2.3^89
NORMALITY OF CORONARY VESSEL^8^MCAR(695.9,^2.3^8
SEGMENT OF CORONARY ARTERIES^33^MCAR(696,^2.3^34
PERCENTAGE LESION^10^MCAR(696.1,^2.3^10
LESION MORPHOLOGY^9^MCAR(696.2,^2.3^9
MORPHOLOGY OF DISTAL VESSEL^8^MCAR(696.3,^2.3^8
BYPASS GRAFT SEGMENT^5^MCAR(696.4,^2.3^5
LEFT VENTRICULOGRAPHY^15^MCAR(696.5,^2.3^16
MITRAL REGURG ON LV GRAM^5^MCAR(696.7,^2.3^5
COMPLICATION^74^MCAR(696.9,^2.3^76
ANATOMY^128^MCAR(697,^2.3^139
REFERRING PHYSICIAN/AGENCY^0^MCAR(697.1,^2.3^
PROCEDURE/SUBSPECIALTY^79^MCAR(697.2,^2.3^87
MEDICINE SCREEN (USER)^355^MCAR(697.3,^2.3^2582
MEDICAL DIAGNOSIS/ICD CODES^907^MCAR(697.5,^2.3^909
GENERATOR IMPLANT^0^MCAR(698,^2.3^
V LEAD IMPLANT^0^MCAR(698.1,^2.3^
A LEAD IMPLANT^0^MCAR(698.2,^2.3^
PACEMAKER SURVEILLANCE^0^MCAR(698.3,^2.3^
PACEMAKER EQUIPMENT^2202^MCAR(698.4,^2.3^2274
PACEMAKER MANUFACTURER^46^MCAR(698.6,^2.3^57
NON-MAGNET ECG RHYTHM^60^MCAR(698.9,^2.3^60
ENDOSCOPY/CONSULT^0^MCAR(699,^2.3^
INSTRUMENT^0^MCAR(699.48,^2.3^
GENERALIZED PROCEDURE/CONSULT^0^MCAR(699.5,^2.3^
GROSS^82^MCAR(699.55,^2.3^103
MODIFIER^180^MCAR(699.57,^2.3^214
DIAG/THERAP INTERVENT^144^MCAR(699.6,^2.3^165
ENDOSCOPIC DEVICE^0^MCAR(699.7,^2.3^
RESULTS^34^MCAR(699.81,^2.3^35
CONSULTATION TYPE^25^MCAR(699.82,^2.3^25
LOCATION OF PAIN/PNEUMONIAS^23^MCAR(699.83,^2.3^29
DISEASE EVALUATION^22^MCAR(699.84,^2.3^23
FOLLOWUP DEVICE/THERAPY^9^MCAR(699.85,^2.3^9
SURVEILLANCE^5^MCAR(699.86,^2.3^5
NON-ENDOSCOPIC PROCEDURE^7^MCAR(699.88,^2.3^7
PULMONARY FUNCTION TESTS^0^MCAR(700,^2.3^
PFT PREDICTED VALUES^2^MCAR(700.1,^2.3^2
PFT FORMULA^46^MCAR(700.2,^2.3^46
MEDICINE AUTO INSTRUMENT INTERFACE SUMMARY^0^MCAR(700.5,^2.3^
RHEUMATOLOGY^0^MCAR(701,^2.3^
CP TRANSACTION^0^MDD(702,^1.0^
CP_TRANSACTION_TIU_HISTORY^^MDD(702.001,^1.0^
CP DEFINITION^^MDS(702.01,^1.0^
CP INSTRUMENT^23^MDS(702.09,^1.0^300
CP RESULT REPORT^^MDD(703.1,^1.0^
CP CONVERSION^^MDD(703.9,^1.0^
CP_CONSOLE_ACL^^MDC(704.001,^1.0^
CP_HL7_LOG^^MDC(704.002,^1.0^
CP_HL7_LOG_REASON^^MDC(704.004,^1.0^
CP_MOVEMENT_AUDIT^^MDC(704.005,^1.0^
CP_PROTOCOL_LOCATION^^MDC(704.006,^1.0^
CP_SHIFT^^MDC(704.007,^1.0^
CP_SCHEDULE^^MDC(704.008,^1.0^
TERM^3619^MDC(704.101,^1.0^3673
TERM_TYPE^12^MDC(704.102,^1.0^
TERM_QUALIFIER_PAIR^3995^MDC(704.103,^1.0^3995
TERM_UNIT_CONVERSION^82^MDC(704.104,^1.0^82
TERM_UNIT_PAIR^296^MDC(704.105,^1.0^296
TERM_CHILD_PAIR^4^MDC(704.106,^1.0^4
TERM_RANGE_CHECK^^MDC(704.107,^1.0^
TERM_MAPPING_TABLE^4^MDC(704.108,^1.0^4
TERM_MAPPING_PAIR^3174^MDC(704.109,^1.0^3174
OBS_VIEW^^MDC(704.111,^1.0^
OBS_VIEW_TERMINOLOGY^^MDC(704.1111,^1.0^
OBS_VIEW_FILTER^^MDC(704.1112,^1.0^
OBS_FLOWSHEET^^MDC(704.112,^1.0^
OBS_FLOWSHEET_PAGE^^MDC(704.1121,^1.0^
OBS_FLOWSHEET_SUPP_PAGE^^MDC(704.1122,^1.0^
OBS_FLOWSHEET_TOTAL^^MDC(704.1123,^1.0^
OBS_TOTAL^^MDC(704.113,^1.0^
OBS_TOTAL_TERMINOLOGY^^MDC(704.1131,^1.0^
OBS_ALARM^^MDC(704.115,^1.0^
OBS_SET^^MDC(704.116,^1.0^
OBS_SET_OBS_PAIR^^MDC(704.1161,^1.0^
OBS^^MDC(704.117,^1.0^
OBS_QUALIFIER^^MDC(704.118,^1.0^
OBS_AUDIT^^MDC(704.119,^1.0^
CP_KARDEX_ACTION^^MDC(704.121,^1.0^
CP_KARDEX_EVENTS^^MDC(704.1211,^1.0^
CP_KARDEX_AUDIT^^MDC(704.1212,^1.0^
HEMODIALYSIS ACCESS POINTS^^MDK(704.201,^1.0^
HEMODIALYSIS STUDY^^MDK(704.202,^1.0^
HEMODIALYSIS SETTINGS^^MDK(704.209,^1.0^
EDR EVENT^^EDR(705,^1.5^
1010EZ MAPPING^239^EAS(711,^1.0^241
1010EZ HOLDING^^EAS(712,^1.0^
GMT THRESHOLDS^55403^EAS(712.5,^1.0^55403
GMT MSA CODE^49927^EAS(712.6,^1.0^49927
EAS MT PARAMETERS^1^EAS(713,^1.0^1
EAS MT PATIENT STATUS^^EAS(713.1,^1.0^
EAS MT LETTER STATUS^^EAS(713.2,^1.0^
EAS MT LETTERS^4^EAS(713.3,^1.0^5
LTC CO-PAY EXEMPTION^13^EAS(714.1,^1.0^13
EAS LTC MONTHLY MAX CALCULATIONS^^EASPFS(714.5,^1.0^
EVENT CAPTURE LOG^1^EC(720.1,^2.0^1
EC EVENT CODE SCREENS^^ECJ(^2.0^
EC PROCEDURE REASON^39^ECR(^2.0^39
EC EVENT CODE SCREENS/PROC REASON LINK^^ECL(^2.0^
EVENT CAPTURE PATIENT^^ECH(^2.0^
EVENT CAPTURE PROVIDER^^EC(722,^2.0^
MEDICAL SPECIALTY^86^ECC(723,^2.0^125
DSS UNIT^^ECD(^2.0^
EC NATIONAL PROCEDURE^3940^EC(725,^2.0^3940
EVENT CAPTURE CATEGORY^^EC(726,^2.0^
DSS EXTRACT LOG^0^ECX(727,^3.0^
EXTRACT DEFINITIONS^24^ECX(727.1,^22.2^24
DSS LAB TESTS^1^ECX(727.2,^3.0^1
DSS LOINC FILE^363^ECX(727.29,^3.0^373
DSS DIVISION IDENTIFIER^^ECX(727.3,^3.0^
DSS WARD^^ECX(727.4,^3.0^
DSS MH TESTS^8^ECX(727.5,^3.0^8
LAB RESULTS TRANSLATION^65^ECX(727.7,^3.0^65
ADMISSION EXTRACT^^ECX(727.802,^3.0^
CLINIC NOSHOW EXTRACT^^ECX(727.804,^3.0^
NURSING EXTRACT^^ECX(727.805,^3.0^
DENTAL EXTRACT^^ECX(727.806,^3.0^
PHYSICAL MOVEMENT EXTRACT^^ECX(727.808,^3.0^
UNIT DOSE LOCAL EXTRACT^^ECX(727.809,^3.0^
PRESCRIPTION EXTRACT^^ECX(727.81,^3.0^
SURGERY EXTRACT^^ECX(727.811,^3.0^
MENTAL HEALTH EXTRACT^0^ECX(727.812,^3.0^0
LABORATORY EXTRACT^^ECX(727.813,^3.0^
RADIOLOGY EXTRACT^^ECX(727.814,^3.0^
EVENT CAPTURE LOCAL EXTRACT^^ECX(727.815,^3.0^
CLINIC I EXTRACT^^ECX(727.816,^3.0^
TREATING SPECIALTY CHANGE EXTRACT^^ECX(727.817,^3.0^
CLINIC II EXTRACT^^ECX(727.818,^3.0^
IV DETAIL EXTRACT^^ECX(727.819,^3.0^
ADMISSION SETUP EXTRACT^^ECX(727.82,^3.0^
PHYSICAL MOVEMENT SETUP EXTRACT^^ECX(727.821,^3.0^
TREATING SPECIALTY CHANGE SETUP EXTRACT^^ECX(727.822,^3.0^
PAI EXTRACT^^ECX(727.823,^3.0^
LAB RESULTS EXTRACT^^ECX(727.824,^3.0^
QUASAR EXTRACT^^ECX(727.825,^3.0^
PROSTHETICS EXTRACT^^ECX(727.826,^3.0^
CLINIC EXTRACT^^ECX(727.827,^3.0^
BLOOD BANK EXTRACT^^ECX(727.829,^3.0^
DSS TREATING SPECIALTY TRANSLATION^16^ECX(727.831,^3.0^111
NUTRITION EXTRACT^^ECX(727.832,^3.0^
BCMA EXTRACT^^ECX(727.833,^3.0^
DSS EXTRACTS^^ECX(728,^3.0^
IV EXTRACT DATA^^ECX(728.113,^3.0^
CLINICS AND STOP CODES^^ECX(728.44,^3.0^
NATIONAL CLINIC^2913^ECX(728.441,^3.0^2914
MCA LABOR CODE^16^ECX(728.442,^3.0^16
DSS NUTRITION PRODUCT WORKSHEET^^ECX(728.45,^3.0^
DSS NUTRITION DIVISION WORKSHEET^^ECX(728.46,^3.0^
DSS DRUG PRODUCT CODE^^ECX(728.506,^3.0^
UNIT DOSE EXTRACT DATA^^ECX(728.904,^3.0^
DSS PRODUCTION UNIT^104^ECX(729,^3.0^104
NATIONAL SERVICE^55^ECC(730,^2^55
VAMC MANAGEMENT^^ECT(731,^^
VAMC PLANNED EQUIPMENT^^ECT(731.5,^^
VAMC STAFFING^^ECT(731.7,^^
QUALITY ASSURANCE SITE PARAMETERS^1^QA(740,^2.0^1
AD HOC MACRO^25^QA(740.1,^1.7^25
QA AUDIT^^QA(740.5,^1.7^
QA OCCURRENCE SCREEN^^QA(741,^3.0^
QA OCCURRENCE SCREEN CRITERIA^14^QA(741.1,^3.0^199
QA OCCURRENCE REVIEW LEVEL^5^QA(741.2,^3.0^5
*QA OCCURRENCE CLINICAL REVIEWER^^QA(741.3,^3.0^
QA OCCURRENCE CLINICAL REFERRAL^155^QA(741.4,^3.0^156
QA OCCURRENCE EXCEPTION^32^QA(741.5,^3.0^36
QA OCCURRENCE FINDINGS^15^QA(741.6,^3.0^15
QA OCCURRENCE ACTION^23^QA(741.7,^3.0^25
QA OCCURRENCE SEVERITY OF OUTCOME^4^QA(741.8,^3.0^11
QA OCCURRENCE TREATING SPECIALTY^^QA(741.9,^3.0^
QA OCCURRENCE MEDICAL TEAM^^QA(741.93,^3.0^
*QA OCCURRENCE NUMBER CASES SCREENED^^QA(741.95,^3.0^
QA OCCURRENCE COMMITTEE^^QA(741.97,^3.0^
QA OCCURRENCE AUTO RUN DATES^^QA(741.99,^3.0^
QA PATIENT INCIDENT REVIEW^^QA(742,^2^
QA INCIDENTS^21^QA(742.1,^2^23
QA MEDICATION ERRORS^12^QA(742.13,^2^12
QA COMPLICATIONS LEADING TO DEATH^11^QA(742.14,^2^11
QA INCIDENT REPORT^^QA(742.4,^2^
QA INCIDENT LOCATION^9^QA(742.5,^2^9
QA INCIDENT SUMMARY^^QA(742.6,^2^
QA MONITOR^6^QA(743,^1.0^0
FALL OUT^^QA(743.1,^1.0^
MONITOR HISTORY^^QA(743.2,^1.0^
CONDITION^32^QA(743.3,^1.0^38
DATA ELEMENT^67^QA(743.4,^1.0^76
GROUP^^QA(743.5,^1.0^
AUTO ENROLL RUN DATE^^QA(743.6,^1.0^
RATIONALE^4^QA(743.91,^1.0^4
TIME FRAME^8^QA(743.92,^1.0^8
CONSUMER CONTACT^^QA(745.1,^2.0^
CONTACT ISSUE CODE^312^QA(745.2,^2.0^405
*QUALITY MATRIX^95^QA(745.3,^2.0^95
CONGRESSIONAL OFFICE^^QA(745.4,^2.0^
CONTACT DISCIPLINES^12^QA(745.5,^2.0^12
QAC SERVICE/DISCIPLINE^12^QA(745.55,^2.0^12
CUSTOMER SERVICE STANDARDS^17^QA(745.6,^2.0^17
SURVEY^^QA(748,^2.0^
DEMOGRAPHIC REFERENCE^12^QA(748.2,^2.0^13
SURVEY QUESTIONS^^QA(748.25,^2.0^
SURVEY RESPONSE DATA^^QA(748.3,^2.0^
MAJOR CONCEPT MAP^769972^LEX(757,^2.0^7475823
CONCEPT USAGE^769972^LEX(757.001,^2.0^7475823
EXPRESSIONS^2098376^LEX(757.01,^2.0^8762544
EXPRESSION TYPE^8^LEX(757.011,^2.0^8
EXPRESSION FORM^15^LEX(757.014,^2.0^15
SNOMED CT HIERARCHY^50^LEX(757.018,^2.0^50
CODES^719339^LEX(757.02,^2.0^7479740
CODING SYSTEMS^36^LEX(757.03,^2.0^57
CHARACTER POSITIONS^214309^LEX(757.033,^2.0^5036137
EXCLUDED WORDS^116^LEX(757.04,^2.0^138
REPLACEMENT WORDS^201^LEX(757.05,^2.0^205
UNRESOLVED NARRATIVES^0^LEX(757.06,^2.0^
TOKENS^6010^LEX(757.07,^2.0^6011
SUPPLEMENTAL WORDS^702^LEX(757.071,^2.0^702
SEMANTIC MAP^826666^LEX(757.1,^2.0^7475826
SEMANTIC CLASS^15^LEX(757.11,^2.0^15
SEMANTIC TYPE^138^LEX(757.12,^2.0^1004
SOURCE CATEGORY^497^LEX(757.13,^2.0^497
SOURCE^4^LEX(757.14,^2.0^4
SUBSET DEFINITIONS^82^LEXT(757.2,^2.0^7000052
SUBSETS^693411^LEX(757.21,^2.0^70277901
LOOK-UP SCREENS^16^LEX(757.3,^2.0^16
DISPLAYS^15^LEX(757.31,^2.0^16
MAPPING DEFINITIONS^3^LEX(757.32,^2.0^3
MAPPINGS^46445^LEX(757.33,^2.0^46570
SHORTCUTS^1043^LEX(757.4,^2.0^1043
SHORTCUT CONTEXT^3^LEX(757.41,^2.0^3
UCUM CODES^812^LEX(757.5,^2.0^812
HL7 NON-DHCP APPLICATION PARAMETER^2^HL(770,^1.6^5
HL7 APPLICATION PARAMETER^235^HL(771,^1.6^240
HL7 FIELD^525^HL(771.1,^1.6^530
HL7 MESSAGE TYPE^135^HL(771.2,^1.6^137
HL7 SEGMENT TYPE^168^HL(771.3,^1.6^169
HL7 DATA TYPE^21^HL(771.4,^1.6^21
HL7 VERSION^8^HL(771.5,^1.6^8
HL7 MESSAGE STATUS^11^HL(771.6,^1.6^9
HL7 ERROR MESSAGE^33^HL(771.7,^1.6^204
HL7 STANDARD^1^HL(771.8,^1.6^1
HL7 DEGREE^67^HL(771.9,^1.6^67
HL7 MESSAGE TEXT^^HL(772,^1.6^23
HL7 MESSAGE ADMINISTRATION^^HLMA(^1.6^23
SUBSCRIPTION CONTROL^^HLS(774,^1.6^
HL7 MONITOR JOB^62^HLEV(776,^1.6^122401
HL7 MONITOR^7^HLEV(776.1,^1.6^11
HL7 MONITOR MASTER JOB^3^HLEV(776.2,^1.6^47909
HL7 MONITOR EVENT TYPE^44^HLEV(776.3,^1.6^216
HL7 MONITOR EVENT^0^HLEV(776.4,^1.6^
HL7 MONITOR EVENTS PROFILE^^HLEV(776.5,^1.6^
HL7 MONITOR PARAMETERS^1^HLEV(776.999,^1.6^1
HLO MESSAGE BODY^^HLA(^1.6^
HLO MESSAGES^^HLB(^1.6^
HL7 EVENT TYPE CODE^310^HL(779.001,^1.6^318
HL7 ACKNOWLEDGEMENT CODE^6^HL(779.002,^1.6^6
HL7 ACCEPT/APPLICATION ACK CONDITION^4^HL(779.003,^1.6^4
COUNTRY CODE^228^HL(779.004,^1.6^230
HL7 MESSAGE STRUCTURE CODE^218^HL(779.005,^1.6^218
HLO SYSTEM PARAMETERS^1^HLD(779.1,^1.6^1
HLO ERROR SCREENS^^HLD(779.11,^1.6^
HLO APPLICATION REGISTRY^11^HLD(779.2,^1.6^21
HLO PROCESS REGISTRY^16^HLD(779.3,^1.6^16
HLO SUBSCRIPTION REGISTRY^3^HLD(779.4,^1.6^3
HLO SEGMENT DEFINITIONS^445^HLD(779.5,^1.6^445
HLO PRIORITY QUEUES^^HLD(779.9,^1.6^
FUNCTIONAL INDEPENDENCE MEASUREMENT RECORD^^RMIM(783,^1.0^
FUNCTIONAL INDEPENDENCE MEASUREMENT PARAMETER^^RMIM(783.9,^1.0^
EEO COMPLAINTS^^EEO(785,^^
EEO COMPLAINT BASIS^18^EEO(785.1,^^18
EEO CORRECTIVE ACTIONS^20^EEO(785.2,^^20
EEO INFORMAL COMPLAINTS^^EEO(785.5,^^
EEO COMPLAINT ISSUE CODES^25^EEO(786,^^25
EEO CENTRAL INVESTIGATORS^1191^EEO(787.5,^^2197
EEO SERVER PARAMETERS^^EEO(789.5,^^
WV PATIENT^^WV(790,^1.0^
WV CASE MANAGER^1^WV(790.01,^1.0^1
WV SITE PARAMETER^1^WV(790.02,^1.0^1
WV PAP REGIMEN^16^WV(790.03,^1.0^16
WV PAP REGIMEN LOG^^WV(790.04,^1.0^
WV PREGNANCY LOG^^WV(790.05,^1.0^
WV REFERRAL SOURCE^5^WV(790.07,^1.0^5
WV LAB TESTS^^WV(790.08,^1.0^
WV PROCEDURE^^WV(790.1,^1.0^
WV PROCEDURE TYPE^30^WV(790.2,^1.0^41
WV REFUSALS^^WV(790.3,^1.0^
WV RESULTS/DIAGNOSIS^145^WV(790.31,^1.0^161
WV DIAGNOSTIC CODE TRANSLATION^^WV(790.32,^1.0^
WV NOTIFICATION^^WV(790.4,^1.0^
WV NOTIFICATION TYPE^13^WV(790.403,^1.0^13
WV NOTIFICATION PURPOSE^47^WV(790.404,^1.0^48
WV NOTIFICATION OUTCOME^19^WV(790.405,^1.0^99
WV CERVICAL TX NEED^13^WV(790.5,^1.0^13
WV BREAST TX NEED^15^WV(790.51,^1.0^15
WV LETTER^1^WV(790.6,^1.0^1
WV SNAPSHOT REPORTS^^WV(790.71,^1.0^
WV AGE RANGE DEFAULT^^WV(790.72,^1.0^
ROR REGISTRY RECORD^^RORDATA(798,^1.5^
ROR REGISTRY PARAMETERS^38^ROR(798.1,^1.5^38
ROR SELECTION RULE^241^ROR(798.2,^1.5^262
ROR PATIENT EVENTS^1^RORDATA(798.3,^1.5^1
ROR PATIENT^^RORDATA(798.4,^1.5^
ROR ICD SEARCH^38^ROR(798.5,^1.5^38
ROR PHARMACY CODE^2^ROR(798.6,^1.5^2
ROR LOG^35^RORDATA(798.7,^1.5^46
ROR TASK^^RORDATA(798.8,^1.5^
ROR LAB SEARCH^2^ROR(798.9,^1.5^4
ROR LIST ITEM^350^ROR(799.1,^1.5^366
ROR METADATA^6^ROR(799.2,^1.5^45
ROR XML ITEM^314^ROR(799.31,^1.5^316
ROR DATA AREA^20^ROR(799.33,^1.5^20
ROR REPORT PARAMETERS^24^ROR(799.34,^1.5^25
ROR HIV RECORD^^RORDATA(799.4,^1.5^
ROR AIDS INDICATOR DISEASE^26^ROR(799.49,^1.5^26
ROR GENERIC DRUG^56^ROR(799.51,^1.5^56
ROR LOCAL FIELD^^ROR(799.53,^1.5^
ROR HISTORICAL DATA EXTRACTION^5^RORDATA(799.6,^1.5^12
CLINICAL REMINDER PARAMETERS^1^PXRM(800,^2.0^1
REMINDER ORDER CHECK ITEMS GROUP^2^PXD(801,^2.0^8
REMINDER ORDER CHECK RULES^2^PXD(801.1,^2.0^7
REMINDER DIALOG^8363^PXRMD(801.41,^2.0^342
REMINDER GUI PROCESS^30^PXRMD(801.42,^2.0^34
REMINDER FINDING ITEM PARAMETER^^PXRMD(801.43,^2.0^
REMINDER FINDING TYPE PARAMETER^10^PXRMD(801.45,^2.0^19
REMINDER DIALOG PATIENT ASSOCIATION^^PXRMD(801.5,^2.0^
REMINDER GEC DIALOG ASSOCIATION HISTORY^^PXRMD(801.55,^2.0^
REMINDER RESOLUTION STATUS^6^PXRMD(801.9,^2.0^12
HEALTH FACTOR RESOLUTION^^PXRMD(801.95,^2.0^
NLM VALUE SET CODING SYSTEMS^17^PXRM(802.1,^2.0^17
NLM VALUE SETS^1006^PXRM(802.2,^2.0^0
NLM QUALITY MEASURE GROUPS^260^PXRM(802.3,^2.0^0
REMINDER FUNCTION FINDING FUNCTIONS^12^PXRMD(802.4,^2.0^12
REMINDER REPORT TEMPLATE^^PXRMPT(810.1,^2.0^
REMINDER EXTRACT DEFINITION^3^PXRM(810.2,^2.0^2
REMINDER EXTRACT SUMMARY^^PXRMXT(810.3,^2.0^
REMINDER LIST RULE^23^PXRM(810.4,^2.0^22
REMINDER PATIENT LIST^^PXRMXP(810.5,^2.0^
REMINDER EXTRACT COUNTING RULE^9^PXRM(810.7,^2.0^8
REMINDER COUNTING GROUP^11^PXRM(810.8,^2.0^11
REMINDER LOCATION LIST^12^PXRMD(810.9,^2.0^36
PCE CODE MAPPING^141^PXD(811.1,^1.0^141
REMINDER TAXONOMY^124^PXD(811.2,^2.0^146
REMINDER COMPUTED FINDINGS^60^PXRMD(811.4,^2.0^41
REMINDER TERM^724^PXRMD(811.5,^2.0^540
REMINDER SPONSOR^30^PXRMD(811.6,^2.0^8
REMINDER CATEGORY^^PXRMD(811.7,^2.0^
REMINDER EXCHANGE^173^PXD(811.8,^2.0^325
REMINDER DEFINITION^147^PXD(811.9,^2.0^76
PCE CUSTOMIZE REPORT^^PXD(812,^1.0^
PCE PARAMETERS^1^PX(815,^1.0^1
PCE DEVICE INTERFACE MODULE ERRORS^^PX(839.01,^^
PCE DATA SOURCE^19^PX(839.7,^1.0^36
VPS CONFIG HISTORY^^VPS(853,^1.0^
VPS HL7 SITE PARAMETERS^^VPS(853.1,^1.0^
VPS ALLERGY DISCREPANCY INDICATORS^29^VPS(853.3,^1.0^29
VPS MRAR PDO^^VPS(853.5,^1.0^
VPS MED DISCREPANCY INDICATORS^20^VPS(853.7,^1.0^20
VPS CLINICAL SURVEY^^VPS(853.8,^1.0^
VPS QUESTIONNAIRE IDENTIFIERS^^VPS(853.85,^1.0^
VPS QUESTIONNAIRE NAME^^VPS(853.875,^1.0^
VPS APPOINTMENTS QUEUE^^VPS(853.9,^1.0^
ORDER CHECK PATIENT ACTIVE DATA^^OCXD(860.1,^3.0^
ORDER CHECK RULE^72^OCXS(860.2,^3.0^39
ORDER CHECK ELEMENT^143^OCXS(860.3,^3.0^139
ORDER CHECK DATA FIELD^161^OCXS(860.4,^3.0^151
ORDER CHECK DATA SOURCE^15^OCXS(860.5,^3.0^14
ORDER CHECK DATA CONTEXT^7^OCXS(860.6,^3.0^7
ORDER CHECK PATIENT RULE EVENT^1^OCXD(860.7,^3.0^5
ORDER CHECK COMPILER FUNCTIONS^56^OCXS(860.8,^3.0^54
ORDER CHECK NATIONAL TERM^15^OCXS(860.9,^3.0^15
ORDER CHECK RAW DATA LOG^1^OCXD(861,^3.0^1
OCX MDD CLASS^18^OCXS(863,^3.0^16
OCX MDD APPLICATION^1^OCXS(863.1,^3.0^1
OCX MDD SUBJECT^3^OCXS(863.2,^3.0^3
OCX MDD LINK^178^OCXS(863.3,^3.0^177
OCX MDD ATTRIBUTE^158^OCXS(863.4,^3.0^157
OCX MDD VALUES^0^OCXS(863.5,^3.0^0
OCX MDD METHOD^39^OCXS(863.6,^3.0^19
OCX MDD PUBLIC FUNCTION^78^OCXS(863.7,^3.0^75
OCX MDD PARAMETER^184^OCXS(863.8,^3.0^143
OCX MDD CONDITION/FUNCTION^66^OCXS(863.9,^3.0^65
OCX MDD SITE PREFERENCES^0^OCXS(864,^3.0^0
OCX MDD DATATYPE^26^OCXS(864.1,^3.0^24
HL LOWER LEVEL PROTOCOL TYPE^4^HLCS(869.1,^1.6^4
HL LOWER LEVEL PROTOCOL PARAMETER^175^HLCS(869.2,^1.6^175
HL COMMUNICATION SERVER PARAMETERS^1^HLCS(869.3,^1.6^1
HL LOGICAL LINK^76^HLCS(870,^1.6^77
ESP MASTER NAME INDEX^0^ESP(910,^1.0^
ESP ACTIVITY REPORT^^ESP(910.1,^1.0^
ESP POLICE REGISTRATION LOG^0^ESP(910.2,^1.0^
ESP SELECTABLES^454^ESP(910.7,^1.0^466
ESP EVIDENCE^^ESP(910.8,^1.0^
ESP ACTIVITY CODES^37^ESP(911,^1.0^38
ESP DISPOSITION CODES^25^ESP(911.2,^1.0^41
ESP OFFENSE REPORT^^ESP(912,^1.0^
ESP CRIME DATA-BY-FACILITY^^ESP(912.3,^1.0^
ESP CRIME DATA^^ESP(912.4,^1.0^
ESP POLICE TRAINING^^ESP(912.5,^1.0^
ESP CRIME CATEGORIES^14^ESP(912.7,^1.0^14
ESP CRIME TYPES^59^ESP(912.8,^1.0^59
ESP CRIME SUB-TYPES^40^ESP(912.9,^1.0^42
ESP WANTS & WARRANTS^^ESP(913,^1.0^
ESP VIOLATIONS^^ESP(914,^1.0^
ESP OFFENSE CODES^81^ESP(915,^1.0^82
ESP DAILY JOURNAL^^ESP(916,^1.0^
VACCINE INFORMATION STATEMENT^107^AUTTIVIS(^1.0^107
IMM DEFAULT RESPONSES^^PXV(920.05,^1.0^
IMMUNIZATION INFO SOURCE^9^PXV(920.1,^1.0^9
IMM ADMINISTRATION ROUTE^9^PXV(920.2,^1.0^9
IMM ADMINISTRATION SITE (BODY)^17^PXV(920.3,^1.0^17
IMM CONTRAINDICATION REASONS^18^PXV(920.4,^1.0^27
IMM REFUSAL REASONS^4^PXV(920.5,^1.0^4
IMM ROUTES TO SITES^6^PXV(920.6,^1.0^6
IMM EXTERNAL AGENCY^^PXV(920.71,^1.0^
XML ENTITY CATALOG^^MXML(950,^7.3^
MASTER PATIENT INDEX (LOCAL NUMBERS)^1^MPIF(984.1,^1.0^1
MPI CHECKDIGIT^6^MPIF(984.5,^1.0^6
MPI ICN BUILD MANAGEMENT^2^MPIF(984.8,^1.0^2
MPIF CMOR REQUEST^^MPIF(984.9,^1.0^
WII ADMISSIONS DISCHARGES^^WII(987.5,^1.0^
WII PARAMETERS^1^WII(987.6,^1.0^1
CIRN REPOSITORY SITE PARAMETER^1^RGSITE("COR",^^1
CIRN HL7 EXCEPTION LOG^^RGHL7(991.1,^^
CIRN HL7 EXCEPTION TYPE^39^RGHL7(991.11,^1.0^234
CIRN SITE PARAMETER^1^RGSITE(991.8,^1.0^1
CIRN EVENT ASSOCIATION^3^RGEQASN(^^62
CIRN EVENT EXCEPTION^^RGEQEXC(^^
CIRN EVENT STATISTICS^^RGSTAT(995.2,^^
NUPA SAVED NOTES^^NUPA(1927.09,^1.0^
NUPA ASSESSMENT PROBLEMS^182^NUPA(1927.2,^1.0^292
NUPA PLAN DESCRIPTION TABS^15^NUPA(1927.23,^1.0^16
NUPA ASSESSMENT INTERVENTIONS^1748^NUPA(1927.24,^1.0^3854
NUPA ASSESSMENT DESCRIPTIONS^6^NUPA(1927.3,^1.0^6
